id,first_name,second_name,element_type,now_cost,minutes,total_points
260,Marc,Guéhi,2,53,1440,93
261,Chris,Richards,2,46,1522,75
262,Chadi,Riad Dnanou,2,40,0,0
263,Nathaniel,Clyne,2,38,220,5
264,Rob,Holding,2,40,0,0
265,Caleb,Kporha,2,40,0,0
267,Ismaïla,Sarr,3,64,1009,52
268,Cheick,Doucouré,3,49,0,0
269,Romain,Esse,3,47,24,1
270,Will,Hughes,3,47,541,19
271,Daichi,Kamada,3,50,1166,45
272,Jefferson,Lerma Solís,3,49,534,29
273,Adam,Wharton,3,50,1208,55
274,Asher,Agbinone,3,43,0,0
275,Naouirou,Ahamada,3,43,0,0
276,Justin,Devenny,3,43,211,19
277,Malcolm,Ebiowei,3,45,0,0
278,Jesurun,Rak-Sakyi,3,44,0,0
279,Matheus,França de Oliveira,3,45,0,0
280,David,Ozoh,3,45,0,0
281,Kaden,Rodney,3,44,0,0
282,Franco,Umeh-Chibueze,3,45,0,0
283,Jean-Philippe,Mateta,4,77,1374,65
284,Eddie,Nketiah,4,54,382,22
285,Odsonne,Édouard,4,50,2,1
286,Zach,Marsh,4,45,0,0
690,Rio,Cardines,3,44,0,0
712,Yéremy,Pino Santos,3,58,1014,37
723,Jaydee,Canvot,2,45,113,14
732,Christantus,Uche,4,55,70,10
762,Joél,Drakes-Thomas,3,45,4,1
242,Kiernan,Dewsbury-Hall,3,50,1257,75
287,Jordan,Pickford,1,55,1530,70
288,Mark,Travers,1,43,0,0
289,Harry,Tyrer,1,39,0,0
290,Jarrad,Branthwaite,2,53,0,0
291,James,Tarkowski,2,55,1530,77
292,Vitalii,Mykolenko,2,49,1255,40
293,Jake,O'Brien,2,49,1398,51
294,Séamus,Coleman,2,43,11,3
295,Michael,Keane,2,47,1414,81
296,Nathan,Patterson,2,44,0,0
297,Roman,Dixon,2,38,0,0
298,Reece,Welch,2,38,0,0
299,Iliman,Ndiaye,3,63,1343,73
300,Dwight,McNeil,3,55,165,9
301,Carlos,Alcaraz Durán,3,52,588,22
302,Idrissa Gana,Gueye,3,54,1051,44
303,James,Garner,3,50,1523,64
304,Tim,Iroegbunam,3,48,577,29
305,Harrison,Armstrong,3,45,1,1
306,Callum,Bates,3,43,0,0
307,Coby,Ebere,3,44,0,0
308,Isaac,Heath,3,45,0,0
309,Jenson,Metcalfe,3,45,0,0
310,Thierno,Barry,4,57,818,27
311,Norberto Bercique,Gomes Betuncal,4,50,702,27
312,Youssef,Ramalho Chermiti,4,49,0,0
313,Martin,Sherif,4,44,0,0
419,Jack,Grealish,3,65,1340,66
630,Tom,King,1,39,0,0
667,Adam,Aznou,2,42,0,0
704,Tyler,Onyango,3,45,0,0
705,Elijah,Campbell,2,39,0,0
707,Tyler,Dibling,3,53,97,7
728,Merlin,Röhl,3,50,106,5
314,Bernd,Leno,1,49,1530,52
315,Steven,Benda,1,40,0,0
316,Antonee,Robinson,2,49,241,16
317,Joachim,Andersen,2,46,1391,63
318,Calvin,Bassey,2,45,1358,55
319,Timothy,Castagne,2,43,537,17
320,Issa,Diop,2,43,228,5
321,Jorge,Cuenca Barreno,2,43,258,12
322,Kenny,Tete,2,45,1215,58
323,Samuel,Amissah,2,38,0,0
324,Alex,Iwobi,3,63,1329,56
325,Emile,Smith Rowe,3,56,576,38
326,Adama,Traoré Diarra,3,51,250,14
327,Andreas,Hoelgebaum Pereira,3,53,0,0
328,Ryan,Sessegnon,3,54,1106,56
329,Harry,Wilson,3,58,1149,80
330,Sander,Berge,3,49,1458,38
331,Tom,Cairney,3,48,222,10
332,Saša,Lukić,3,49,859,36
333,Martial,Godo,3,45,0,0
334,Luke,Harris,3,45,0,0
335,Josh,King,3,45,842,31
336,Harrison,Reed,3,43,1,1
337,Raúl,Jiménez Rodríguez,4,63,954,46
338,Rodrigo,Muniz Carvalho,4,53,348,17
664,Benjamin,Lecomte,1,39,0,0
727,Samuel,Chukwueze,3,53,393,35
731,Kevin,Santos Lopes de Macedo,3,58,493,22
737,Jonah,Kusi-Asare,4,45,23,3
770,Seth,Ridgeon,3,45,0,0
339,Illan,Meslier,1,42,0,0
340,Alex,Cairns,1,39,0,0
341,Karl,Darlow,1,39,450,10
342,Jayden,Bogle,2,44,1483,42
343,Pascal,Struijk,2,43,1268,38
344,Jaka,Bijol,2,39,622,27
345,Sebastiaan,Bornauw,2,38,2,2
346,Sam,Byram,2,38,7,1
347,Gabriel,Gudmundsson,2,38,1380,37
348,Joe,Rodon,2,40,1530,56
349,Isaac,Schmidt,2,40,0,0
350,Brenden,Aaronson,3,54,907,55
351,Wilfried,Gnonto,3,52,301,16
352,Jack,Harrison,3,51,262,12
353,Daniel,James,3,53,348,13
354,Ethan,Ampadu,3,49,1319,50
355,Sam,Greenwood,3,49,0,0
356,Ilia,Gruev,3,47,391,16
357,Largie,Ramazani,3,49,0,0
358,Tanaka,Ao,3,48,633,37
359,Charlie,Crew,3,45,0,0
360,Joe,Gelhardt,3,45,0,0
361,Darko,Gyabi,3,45,0,0
362,Joël,Piroe,4,50,198,10
363,Patrick,Bamford,4,49,0,0
364,Mateo,Joseph Fernández-Regatillo,4,50,0,0
365,Lukas,Nmecha,4,50,489,37
493,Sean,Longstaff,3,48,877,40
660,Anton,Stach,3,48,1180,72
665,Lucas Estella,Perri,1,45,1080,28
691,Dominic,Calvert-Lewin,4,58,1029,70
698,Noah,Okafor,3,55,855,43
706,James,Justin,2,39,159,8
741,Harry,Gray,4,45,0,0
366,Alisson,Becker,1,54,1080,42
367,Giorgi,Mamardashvili,1,43,450,19
368,Ármin,Pécsi,1,39,0,0
369,Freddie,Woodman,1,39,0,0
370,Jeremie,Frimpong,2,57,113,11
371,Milos,Kerkez,2,56,1119,39
372,Andrew,Robertson,2,58,416,17
373,Virgil,van Dijk,2,59,1530,64
374,Ibrahima,Konaté,2,54,1426,62
375,Conor,Bradley,2,50,641,21
376,Joe,Gomez,2,49,244,23
377,Konstantinos,Tsimikas,2,48,0,0
378,Amara,Nallo,2,38,0,0
379,Rhys,Williams,2,38,0,0
380,Calvin,Ramsay,2,38,0,0
381,Mohamed,Salah,3,140,1183,64
382,Florian,Wirtz,3,81,1084,45
383,Luis,Díaz Marulanda,3,80,0,0
384,Cody,Gakpo,3,73,1136,65
385,Federico,Chiesa,3,63,151,23
386,Alexis,Mac Allister,3,62,1092,37
387,Dominik,Szoboszlai,3,66,1522,63
388,Curtis,Jones,3,54,725,24
390,Ryan,Gravenberch,3,56,1321,73
392,Endo,Wataru,3,49,43,7
393,Stefan,Bajčetić Maquieira,3,43,0,0
394,James,McConnell,3,44,0,0
395,Tyler,Morton,3,45,0,0
396,Trey,Nyoni,3,43,1,1
397,Darwin,Núñez Ribeiro,4,65,0,0
398,Jayden,Danns,4,43,0,0
499,Alexander,Isak,4,103,501,29
661,Hugo,Ekitiké,4,90,953,77
686,Rio,Ngumoha,3,43,42,10
692,Giovanni,Leoni,2,49,0,0
746,Kieran,Morrison,3,45,0,0
760,Wellity,Lucky,2,40,0,0
182,James,Trafford,1,46,270,11
399,Ederson,Santana de Moraes,1,53,0,0
400,Stefan,Ortega Moreno,1,47,0,0
401,Marcus,Bettinelli,1,39,0,0
402,Rayan,Aït-Nouri,2,57,204,12
403,Joško,Gvardiol,2,60,1128,67
404,Manuel,Akanji,2,54,0,0
405,Nathan,Aké,2,53,222,12
406,Abdukodir,Khusanov,2,54,250,12
407,Matheus,Nunes,2,54,1233,76
408,Rúben,dos Santos Gato Alves Dias,2,57,1445,81
409,John,Stones,2,54,351,12
410,Rico,Lewis,2,47,204,18
411,Nico,O'Reilly,2,53,1223,74
412,Vitor,de Oliveira Nunes dos Reis,2,50,0,0
413,Omar,Marmoush,3,83,204,16
414,Phil,Foden,3,90,1225,91
415,Sávio,Moreira de Oliveira,3,69,464,24
416,Bernardo,Mota Veiga de Carvalho e Silva,3,62,1139,38
417,Rayan,Cherki,3,66,549,53
418,Jérémy,Doku,3,64,935,59
420,İlkay,Gündoğan,3,63,0,0
421,Rodrigo 'Rodri',Hernandez Cascante,3,63,292,12
422,Mateo,Kovačić,3,59,4,1
423,Nico,González Iglesias,3,59,1133,46
424,Oscar,Bobb,3,51,464,18
425,Claudio,Echeverri,3,54,0,0
427,Tijjani,Reijnders,3,52,1096,57
428,Sverre,Nypan,3,50,0,0
429,Kalvin,Phillips,3,48,0,0
430,Erling,Haaland,4,151,1462,151
736,Gianluigi,Donnarumma,1,57,1260,57
739,Divine,Mukasa,3,44,15,1
740,Stephen,Mfuni,2,39,0,0
742,Ryan,McAidoo,3,45,0,0
763,Charlie,Gray,3,45,0,0
764,Reigan,Heskey,3,45,0,0
119,Bryan,Mbeumo,3,81,1405,74
431,Altay,Bayındır,1,48,540,11
432,André,Onana,1,49,0,0
433,Elyh,Harrison,1,40,0,0
434,Tom,Heaton,1,39,0,0
435,Dermot,Mee,1,39,0,0
436,Matthijs,de Ligt,2,50,1170,43
437,Lisandro,Martínez,2,48,107,6
438,Noussair,Mazraoui,2,49,439,17
439,Diego,León Blanco,2,42,0,0
440,Diogo,Dalot Teixeira,2,44,1054,48
441,Patrick,Dorgu,2,41,809,27
442,Harry,Maguire,2,43,341,33
443,Luke,Shaw,2,45,1471,38
444,Leny,Yoro,2,43,998,30
445,Harry,Amass,2,40,0,0
446,Tyler,Fredricson,2,38,0,0
447,Ayden,Heaven,2,38,331,12
448,Tyrell,Malacia,2,38,0,0
449,Bruno,Borges Fernandes,3,92,1475,99
450,Matheus,Santos Carneiro da Cunha,3,80,1039,52
451,Marcus,Rashford,3,70,0,0
452,Amad,Diallo,3,63,1203,56
454,Antony,dos Santos,3,59,0,0
455,Mason,Mount,3,59,747,44
457,Carlos Henrique,Casimiro,3,55,1001,68
458,Kobbie,Mainoo,3,46,212,11
459,Manuel,Ugarte Ribeiro,3,47,394,16
460,Toby,Collyer,3,45,0,0
461,Jayce,Fitzgerald,3,44,0,0
462,Jack,Fletcher,3,43,17,1
463,Sékou,Koné,3,43,0,0
464,Jack,Moorhouse,3,45,0,0
465,Rasmus,Højlund,4,63,0,0
466,Joshua,Zirkzee,4,58,363,19
467,Chido,Obi,4,42,0,0
468,Ethan,Wheatley,4,45,0,0
681,Benjamin,Sesko,4,72,719,38
733,Senne,Lammens,1,50,1000,27
755,Shea,Lacey,3,45,6,1
769,Bendito,Mantato,3,45,0,0
52,Jacob,Ramsey,3,53,397,10
135,Yoane,Wissa,4,73,48,2
469,Nick,Pope,1,51,1066,55
471,Mark,Gillespie,1,39,0,0
472,Odysseas,Vlachodimos,1,40,0,0
473,Lewis,Hall,2,52,618,27
474,Fabian,Schär,2,53,754,35
475,Sven,Botman,2,49,655,32
476,Dan,Burn,2,51,1255,67
477,Tino,Livramento,2,49,976,47
478,Kieran,Trippier,2,49,699,30
479,Emil,Krafth,2,43,45,0
480,Jamaal,Lascelles,2,43,19,1
481,Alex,Murphy,2,38,0,0
482,Harrison,Ashby,2,39,0,0
483,Miodrag,Pivaš,2,38,0,0
484,Matt,Targett,2,40,0,0
485,Anthony,Gordon,3,73,698,41
486,Anthony,Elanga,3,65,675,27
487,Harvey,Barnes,3,62,732,46
488,Bruno,Guimarães Rodriguez Moura,3,70,1399,85
489,Jacob,Murphy,3,60,834,45
490,Joelinton Cássio,Apolinário de Lira,3,59,935,31
491,Sandro,Tonali,3,53,1164,44
492,Antoñito,Cordero Campillo,3,49,0,0
494,Joe,Willock,3,50,217,11
495,Isaac,Hayden,3,45,0,0
496,Garang,Kuol,3,44,0,0
497,Lewis,Miley,3,44,670,39
498,Joe,White,3,45,0,0
500,William,Osula,4,54,213,18
501,Sean,Neave,4,44,0,0
674,Aaron,Ramsdale,1,48,473,9
684,Malick,Thiaw,2,50,1182,54
689,Seung-Soo,Park,3,44,0,0
714,Nick,Woltemade,4,73,1105,70
753,John,Ruddy,1,40,0,0
765,Leo,Shahar,2,40,0,0
